title,text
I am too close for him ...,"
I am too close for him to dream about me.
I'm not flying over him, not fleeing him
under the roots of trees. I am too close.
Not with my voice sings the fish in the net.
Not from my finger rolls the ring.
I am too close. A large house is on fire
without my calling for help. Too close
for a bell dangling from my hair to chime.
Too close for me to enter as a guest
before whom the walls part.
Never again will I die so readily,
so far beyond the flesh, so inadvertently
as once in his dream. I am too close,
too close—I hear the hiss
and see the glittering husk of that word,
as I lie immobilized in his embrace. He sleeps,
more available at this moment
to the ticket lady of a one-lion traveling circus
seen but once in his life
than to me lying beside him.
Now a valley grows for her in him, ochre-leaved,
closed off by a snowy mountain
in the azure air. I am too close
to fall out of the sky for him. My scream
might only awaken him. Poor me,
limited to my own form,
but I was a birch tree, I was a lizard,
I emerged from satins and sundials
my skins shimmering in different colors. I possessed
the grace to disappear from astonished eyes,
and that is the rich man's riches. I am too close,
too close for him to dream about me.
I slip my arm out from under his sleeping head.
It's numb, full of imaginary pins and needles.
And on the head of each, ready to be counted,
dance the fallen angels.



              Copyright ©: 
                     Translated by Joanna Trzeciak        


"
Identification,"
It’s good you came—she says.
You heard a plane crashed on Thursday?
Well so they came to see me
about it.
The story is he was on the passenger list.
So what, he might have changed his mind.
They gave me some pills so I wouldn’t fall apart.
Then they showed me I don’t know who.
All black, burned except one hand.
A scrap of shirt, a watch, a wedding ring.
I got furious, that can’t be him.
He wouldn’t do that to me, look like that.
The stores are bursting with those shirts.
The watch is just a regular old watch.
And our names on that ring,
they’re only the most ordinary names.
It’s good you came. Sit here beside me.
He really was supposed to get back Thursday.
But we’ve got so many Thursdays left this year.
I’ll put the kettle on for tea.
I’ll wash my hair, then what,
try to wake up from all this.
It’s good you came, since it was cold there,
and him just in some rubber sleeping bag,
him, I mean, you know, that unlucky man.
I’ll put the Thursday on, wash the tea,
since our names are completely ordinary."
In Praise of Feeling Bad About Yourself,"
The buzzard never says it is to blame.
The panther wouldn't know what scruples mean.
When the piranha strikes, it feels no shame.
If snakes had hands, they'd claim their hands were clean.
A jackal doesn't understand remorse.
Lions and lice don't waver in their course.
Why should they, when they know they're right?
Though hearts of killer whales may weigh a ton,
in every other way they're light.
On this third planet of the sun
among the signs of bestiality
a clear conscience is Number One."
Lot's Wife,"
They say I looked back out of curiosity.
But I could have had other reasons.
I looked back mourning my silver bowl.
Carelessly, while tying my sandal strap.
So I wouldn't have to keep staring at the righteous nape
of my husband Lot's neck.
From the sudden conviction that if I dropped dead
he wouldn't so much as hesitate.
From the disobedience of the meek.
Checking for pursuers.
Struck by the silence, hoping God had changed his mind.
Our two daughters were already vanishing over the hilltop.
I felt age within me. Distance.
The futility of wandering. Torpor.
I looked back setting my bundle down.
I looked back not knowing where to set my foot.
Serpents appeared on my path,
spiders, field mice, baby vultures.
They were neither good nor evil now--every living thing
was simply creeping or hopping along in the mass panic.
I looked back in desolation.
In shame because we had stolen away.
Wanting to cry out, to go home.
Or only when a sudden gust of wind
unbound my hair and lifted up my robe.
It seemed to me that they were watching from the walls of Sodom
and bursting into thunderous laughter again and again.
I looked back in anger.
To savor their terrible fate.
I looked back for all the reasons given above.
I looked back involuntarily.
It was only a rock that turned underfoot, growling at me.
It was a sudden crack that stopped me in my tracks.
A hamster on its hind paws tottered on the edge.
It was then we both glanced back.
No, no. I ran on,
I crept, I flew upward
until darkness fell from the heavens
and with it scorching gravel and dead birds.
I couldn't breathe and spun around and around.
Anyone who saw me must have thought I was dancing.
It's not inconceivable that my eyes were open.
It's possible I fell facing the city. "
Love at First Sight,"
They both thought
that a sudden feeling had united them
This certainty is beautiful,
Even more beautiful than uncertainty.
They thought they didn't know each other,
nothing had ever happened between them,
These streets, these stairs, this corridors,
Where they could have met so long ago?
I would like to ask them,
if they can remember -
perhaps in a revolving door
face to face one day?
A ""sorry"" in the crowd?
""Wrong number"" on the 'phone?
- but I know the answer.
No, they don't remember.
How surprised they would be
For such a long time already
Fate has been playing with them.
Not quite yet ready
to change into destiny,
which brings them nearer and yet further,
cutting their path
and stifling a laugh,
escaping ever further;
There were sings, indications,
undecipherable, what does in matter.
Three years ago, perhaps
or even last Tuesday,
this leaf flying
from one shoulder to another?
Something lost and gathered.
Who knows, perhaps a ball already
in the bushes, in childhood?
There were handles, door bells,
where, on the trace of a hand,
another hand was placed;
suitcases next to one another in the
left luggage.
And maybe one night the same dream
forgotten on walking;
But every beginning
is only a continuation
and the book of fate is
always open in the middle.



              Copyright ©: 
                    ranslation from Polish by Roman Gren        


"
Nothing Twice,"
Nothing can ever happen twice.
In consequence, the sorry fact is
that we arrive here improvised
and leave without the chance to practice.
Even if there is no one dumber,
if you're the planet's biggest dunce,
you can't repeat the class in summer:
this course is only offered once.
No day copies yesterday,
no two nights will teach what bliss is
in precisely the same way,
with precisely the same kisses.
One day, perhaps some idle tongue
mentions your name by accident:
I feel as if a rose were flung
into the room, all hue and scent.
The next day, though you're here with me,
I can't help looking at the clock:
A rose? A rose? What could that be?
Is it a flower or a rock?
Why do we treat the fleeting day
with so much needless fear and sorrow?
It's in its nature not to stay:
Today is always gone tomorrow.
With smiles and kisses, we prefer
to seek accord beneath our star,
although we're different (we concur)
just as two drops of water are. 



              Copyright ©: 
                    Translated by Clare Cavanagh and Stanislaw Baranczak         


"
"On Death, Without Exaggeration","
It can’t take a joke,
find a star, make a bridge.
It knows nothing about weaving, mining, farming,
building ships, or baking cakes.
In our planning for tomorrow,
it has the final word,
which is always beside the point.
It can’t even get the things done
that are part of its trade:
dig a grave,
make a coffin,
clean up after itself.
Preoccupied with killing,
it does the job awkwardly,
without system or skill.
As though each of us were its first kill.
Oh, it has its triumphs,
but look at its countless defeats,
missed blows,
and repeat attempts!
Sometimes it isn’t strong enough
to swat a fly from the air.
Many are the caterpillars
that have outcrawled it.
All those bulbs, pods,
tentacles, fins, tracheae,
nuptial plumage, and winter fur
show that it has fallen behind
with its halfhearted work.
Ill will won’t help
and even our lending a hand with wars and coups d’etat
is so far not enough.
Hearts beat inside eggs.
Babies’ skeletons grow.
Seeds, hard at work, sprout their first tiny pair of leaves
and sometimes even tall trees fall away.
Whoever claims that it’s omnipotent
is himself living proof
that it’s not.
There’s no life
that couldn’t be immortal
if only for a moment.
Death
always arrives by that very moment too late.
In vain it tugs at the knob
of the invisible door.
As far as you’ve come
can’t be undone."
Poetry Reading,"
To be a boxer, or not to be there
at all. O Muse, where are our teeming crowds?
Twelve people in the room, eight seats to spare
it's time to start this cultural affair.
Half came inside because it started raining,
the rest are relatives. O Muse.
The women here would love to rant and rave,
but that's for boxing. Here they must behave.
Dante's Infemo is ringside nowadays.
Likewise his Paradise. O Muse.
Oh, not to be a boxer but a poet,
one sentenced to hard shelleying for life,
for lack of muscles forced to show the world
the sonnet that may make the high-school reading lists
with luck. O Muse,
O bobtailed angel, Pegasus.
In the first row, a sweet old man's soft snore:
he dreams his wife's alive again. What's more,
she's making him that tart she used to bake.
Aflame, but carefully-don't burn his cake!
we start to read. O Muse.



              From: 
                    Translated by Stanislaw Baranczak and Clare Cavanagh         


"
Some Like Poetry,"
Some -
thus not all. Not even the majority of all but the minority.
Not counting schools, where one has to,
and the poets themselves,
there might be two people per thousand.
Like -
but one also likes chicken soup with noodles,
one likes compliments and the color blue,
one likes an old scarf,
one likes having the upper hand,
one likes stroking a dog.
Poetry -
but what is poetry.
Many shaky answers
have been given to this question.
But I don't know and don't know and hold on to it
like to a sustaining railing.



              Copyright ©: 
                    Translated by Regina Grol         


"
Some People,"
Some people fleeing some other people.
In some country under the sun
and some clouds.
They leave behind some of their everything,
sown fields, some chickens, dogs,
mirrors in which fire now sees itself reflected.
On their backs are pitchers and bundles,
the emptier, the heavier from one day to the next.
Taking place stealthily is somebody's stopping,
and in the commotion, somebody's bread somebody's snatching
and a dead child somebody's shaking.
In front of them some still not the right way,
nor the bridge that should be
over a river strangely rosy.
Around them, some gunfire, at times closer, at times farther off,
and, above, a plane circling somewhat.
Some invisibility would come in handy,
some grayish stoniness,
or even better, non-being
for a little or a long while.
Something else is yet to happen, only where and what?
Someone will head toward them, only when and who,
in how many shapes and with what intentions?
Given a choice,
maybe he will choose not to be the enemy and
leave them with some kind of life."
The Onion,"
The onion, now that's something else
its innards don't exist
nothing but pure onionhood
fills this devout onionist
oniony on the inside
onionesque it appears
it follows its own daimonion
without our human tears
our skin is just a coverup
for the land where none dare to go
an internal inferno
the anathema of anatomy
in an onion there's only onion
from its top to it's toe
onionymous monomania
unanimous omninudity
at peace, at peace
internally at rest
inside it, there's a smaller one
of undiminished worth
the second holds a third one
the third contains a fourth
a centripetal fugue
polypony compressed
nature's rotundest tummy
its greatest success story
the onion drapes itself in it's
own aureoles of glory
we hold veins, nerves, and fat
secretions' secret sections
not for us such idiotic
onionoid perfections.



              Copyright ©: 
                    Translated by Stanislaw Baranczak and Clare Cavanagh        


"
The Three Oddest Words,"
When I pronounce the word Future,
the first syllable already belongs to the past.
When I pronounce the word Silence,
I destroy it.
When I pronounce the word Nothing,
I make something no non-being can hold."
True Love,"
True love. Is it normal
is it serious, is it practical?
What does the world get from two people
who exist in a world of their own?
Placed on the same pedestal for no good reason,
drawn randomly from millions but convinced
it had to happen this way - in reward for what?
For nothing.
The light descends from nowhere.
Why on these two and not on others?
Doesn't this outrage justice? Yes it does.
Doesn't it disrupt our painstakingly erected principles,
and cast the moral from the peak? Yes on both accounts.
Look at the happy couple.
Couldn't they at least try to hide it,
fake a little depression for their friends' sake?
Listen to them laughing - its an insult.
The language they use - deceptively clear.
And their little celebrations, rituals,
the elaborate mutual routines -
it's obviously a plot behind the human race's back!
It's hard even to guess how far things might go
if people start to follow their example.
What could religion and poetry count on?
What would be remembered? What renounced?
Who'd want to stay within bounds?
True love. Is it really necessary?
Tact and common sense tell us to pass over it in silence,
like a scandal in Life's highest circles.
Perfectly good children are born without its help.
It couldn't populate the planet in a million years,
it comes along so rarely.
Let the people who never find true love
keep saying that there's no such thing.
Their faith will make it easier for them to live and die. 



              From: 
                    Translated from the Polish by Stanislaw Baranczak and Clare Cavanagh        


"
Under One Small Star,"
My apologies to chance for calling it necessity.
My apologies to necessity if I'm mistaken, after all.
Please, don't be angry, happiness, that I take you as my due.
May my dead be patient with the way my memories fade.
My apologies to time for all the world I overlook each second.
My apologies to past loves for thinking that the latest is the first.
Forgive me, distant wars, for bringing flowers home.
Forgive me, open wounds, for pricking my finger.
I apologize for my record of minuets to those who cry from the depths.
I apologize to those who wait in railway stations for being asleep today at five a.m.
Pardon me, hounded hope, for laughing from time to time.
Pardon me, deserts, that I don't rush to you bearing a spoonful of water.
And you, falcon, unchanging year after year, always in the same cage,
your gaze always fixed on the same point in space,
forgive me, even if it turns out you were stuffed.
My apologies to the felled tree for the table's four legs.
My apologies to great questions for small answers.
Truth, please don't pay me much attention.
Dignity, please be magnanimous.
Bear with me, O mystery of existence, as I pluck the occasional thread from your train.
Soul, don't take offense that I've only got you now and then.
My apologies to everything that I can't be everywhere at once.
My apologies to everyone that I can't be each woman and each man.
I know I won't be justified as long as I live,
since I myself stand in my own way.
Don't bear me ill will, speech, that I borrow weighty words,
then labor heavily so that they may seem light. "
Utopia,"
Island where all becomes clear.
Solid ground beneath your feet.
The only roads are those that offer access.
Bushes bend beneath the weight of proofs.
The Tree of Valid Supposition grows here
with branches disentangled since time immermorial.
The Tree of Understanding, dazzling staight and simple.
sprouts by the spring called Now I Get It.
The thicker the woods, the vaster the vista:
the Valley of Obviously.
If any doubts arise, the wind dispels them instantly.
Echoes stir unsummoned
and eagerly explain all the secrets of the worlds.
On the right a cave where Meaning lies.
On the left the Lake of Deep Conviction.
Truth breaks from the bottom and bobs to the surface.
Unshakable Confidence towers over the valley.
Its peak offers an excellent view of the Essence of Things.
For all its charms, the island is uninhabited,
and the faint footprints scattered on its beaches
turn without exception to the sea.
As if all you can do here is leave
and plunge, never to return, into the depths.
Into unfathomable life. "
