,0
341,and then the tears roll down what a bitter taste
342,and then you drift away on a summer s day where the wildflowers bloom
343,with your golden loom
344,i walk across the bridge in the dismal light
345,where all the cars are stripped between the gates of night
346,i see the trembling lion with the lotus flower tail
347,and then i kiss your lips as i lift your veil
348,but you re gone and then all i seem to recall is the smell of perfume
349,and your golden loom
350,winterlude winterlude oh darling
351,winterlude by the road tonight
352,tonight there will be no quarreling
353,everything is gonna be all right
354,oh i see by the angel beside me
355,that love has a reason to shine
356,you re the one i adore come over here and give me more
357,winterlude this dude thinks you re fine
358,winterlude winterlude my little apple
359,winterlude by the corn in the field
360,winterlude let s go down to the chapel
361,then come back and cook up a meal
362,well come out when the skating rink glistens
363,by the sun near the old crossroad sign
364,the snow is so cold but our love can be bold
365,winterlude don t be rude please be mine
366,winterlude winterlude my little daisy
367,winterlude by the telephone wire
368,winterlude it s making me lazy
369,come one sit by the logs in the fire
370,the moonlight reflects from the window
371,where the snowflakes they cover the sand
372,come out tonight everything will be tight
373,winterlude this dude thinks you re grand
374,there must be some way out of here said the joker to the thief
375,there s too much confusion i can t get no relief
376,businessmen they drink my wine plowmen dig my earth
377,none of them along the line know what any of it is worth
378,no reason to get excited the thief he kindly spoke
379,there are many here among us who feel that life is but a joke
380,but you and i we ve been through that and this is not our fate
381,so let us not talk falsely now the hour is getting late
382,all along the watchtower princes kept the view
383,while all the women came and went barefoot servants too
384,outside in the distance a wildcat did growl
385,two riders were approaching the wind began to howl
386,some time ago a crazy dream came to me
387,i dreamt i was walkin into world war three
388,i went to the doctor the very next day
389,to see what kinda words he could say
390,he said it was a bad dream
391,i wouldn t worry bout it none though
392,they were my own dreams and they re only in my head
393,i said hold it doc a world war passed through my brain
394,he said nurse get your pad this boy s insane
395,he grabbed my arm i said ouch
396,as i landed on the psychiatric couch
397,he said tell me about it
398,well the whole thing started at o clock fast
399,it was all over by quarter past
400,i was down in the sewer with some little lover
401,when i peeked out from a manhole cover
402,wondering who turned the lights on
403,well i got up and walked around
404,and up and down the lonesome town
405,i stood a wondering which way to go
406,i lit a cigarette on a parking meter and walked on down the road
407,it was a normal day
408,well i rung the fallout shelter bell
409,and i leaned my head and i gave a yell
410,give me a string bean i m a hungry man
411,a shotgun fired and away i ran
412,i don t blame them too much though
413,they didn t know me
414,down at the corner by a hot dog stand
415,i seen a man
416,i said howdy friend i guess there s just us two
417,he screamed a bit and away he flew
418,thought i was a communist
419,well i spied me a girl and before she could leave
420,let s go and play adam and eve
421,i took her by the hand and my heart it was thumpin
422,when she said hey man you crazy or sumpin
423,you see what happened last time they started
424,well i seen a cadillac window uptown
425,and there was nobody aroun
426,i got into the driver s seat
427,and i drove down to nd street
428,in my cadillac good car to drive after a war
429,well i remember seein some ad
430,so i turned on my conelrad
431,but i didn t pay my con ed bill
432,so the radio didn t work so well
433,turned on my record player
434,it was rock a day johnny singin tell your ma tell your pa
435,our love s a gonna grow ooh wah ooh wah
436,i was feelin kinda lonesome and blue
437,i needed somebody to talk to
438,so i called up the operator of time
439,just to hear a voice of some kind
440,when you hear the beep it will be three o clock
441,she said that for over an hour
442,and i hung up
443,well the doctor interrupted me just about then
444,sayin hey i ve been havin the same old dreams
445,but mine was a little different you see
446,i dreamt that the only person left after the war was me
447,i didn t see you around
448,well now time passed and now it seems
449,everybody s having them dreams
450,everybody sees themselves
451,walkin around with no one else
452,half of the people can be part right all of the time
453,some of the people can be all right part of the time
454,but all of the people can t be all right all of the time
455,i think abraham lincoln said that
456,i ll let you be in my dreams if i can be in yours
457,i said that
458,i got this graveyard woman you know she keeps my kids
459,but my soulful mama you know she keeps me hid
460,she s a junkyard angel and she always gives me bread
461,well if i go down dyin you know she bound to put a blanket on my bed
462,well when the pipeline gets broken and i m lost on the river bridge
463,i m all cracked up on the highway and on the water s edge
464,she comes down the thruway ready to sew me up with the thread
465,well if i go down dyin you know she bound to put a blanket on my bed
466,well she don t make me nervous she don t talk too much
467,she walks like bo diddley and she don t need no crutch
468,she keeps this four ten all loaded with lead
469,well if i go down dyin you know she bound to put a blanket on my bed
470,well you know i need a steam shovel mama to keep away the dead
471,i need a dump truck baby to unload my head
472,she brings me everything and more and just like i said
473,well if i go down dyin you know she bound to put a blanket on my bed
474,oh shenandoah i long to hear you
475,look away you rollin river
476,oh shenandoah i long to hear
477,look away we re bound away
478,across the wide missouri
479,now the missouri is a mighty river
480,look away you rollin river
481,indians camp a long her border
482,look away we re bound away
483,across the wide missouri
484,well a white man loved an indian maiden
485,look away you rollin river
486,with notions his canoe was laden
487,look away we re bound away
488,across the wide missouri
489,shenandoah i love your daughter
490,look away you rollin river
491,it was for her i d cross the water
492,look away we re bound away
493,across the wide missouri
494,for seven long years i courted sally
495,look away you rollin river
496,seven more years i longed to have her
497,look away we re bound away
498,across the wide missouri
499,well it s fare thee well my dear i m bound to leave you
500,look away you rollin river
501,shenandoah i will not deceive you
502,look away we re bound away
503,across the wide missouri
504,oh where have you been my blue eyed son
505,and where have you been my darling young one
506,i ve stumbled on the side of twelve misty mountains
507,i ve walked and i ve crawled on six crooked highways
508,i ve stepped in the middle of seven sad forests
509,i ve been out in front of a dozen dead oceans
510,i ve been ten thousand miles in the mouth of a graveyard
511,and it s a hard it s a hard it s a hard and it s a hard
512,it s a hard rain s a gonna fall
513,oh what did you see my blue eyed son
514,and what did you see my darling young one
515,i saw a newborn baby with wild wolves all around it
516,i saw a highway of diamonds with nobody on it
517,i saw a black branch with blood that kept drippin
518,i saw a room full of men with their hammers a bleedin
519,i saw a white ladder all covered with water
520,i saw ten thousand talkers whose tongues were all broken
521,i saw guns and sharp swords in the hands of young children
522,and it s a hard it s a hard it s a hard and it s a hard
523,it s a hard rain s a gonna fall
524,and what did you hear my blue eyed son
525,and what did you hear my darling young one
526,i heard the sound of a thunder that roared out a warnin
527,i heard the roar of a wave that could drown the whole world
528,i heard one hundred drummers whose hands were a blazin
529,i heard ten thousand whisperin and nobody listenin
530,i heard one person starve i heard many people laughin
531,heard the song of a poet who died in the gutter
532,heard the sound of a clown who cried in the alley
533,and it s a hard it s a hard it s a hard it s a hard
534,it s a hard rain s a gonna fall
535,oh what did you meet my blue eyed son
536,who did you meet my darling young one
537,i met a young child beside a dead pony
538,i met a white man who walked a black dog
539,i met a young woman whose body was burning
540,i met a young girl she gave me a rainbow
541,i met one man who was wounded in love
542,i met another man who was wounded in hatred
543,and it s a hard it s a hard it s a hard it s a hard
544,it s a hard rain s a gonna fall
545,and what ll you do now my blue eyed son
546,and what ll you do now my darling young one
547,i m a goin back out fore the rain starts a fallin
548,i ll walk to the depths of the deepest dark forest
549,where the people are many and their hands are all empty
550,where the pellets of poison are flooding their waters
551,where the home in the valley meets the damp dirty prison
552,and the executioner s face is always well hidden
553,where hunger is ugly where souls are forgotten
554,where black is the color where none is the number
555,and i ll tell and speak it and think it and breathe it
556,and reflect from the mountain so all souls can see it
557,and i ll stand on the ocean until i start sinkin
558,but i ll know my song well before i start singin
559,and it s a hard it s a hard it s a hard and it s a hard
560,it s a hard rain s a gonna fall
561,one more night the stars are in sight
562,but tonight i m as lonesome as can be
563,oh the moon is shinin bright
564,lighting ev rything in sight
565,but tonight no light will shine on me
566,oh it s shameful and it s sad
567,i lost the only pal i had
568,i just could not be what she wanted me to be
569,i will turn my head up high
570,to that dark and rolling sky
571,for tonight no light will shine on me
572,i was so mistaken when i thought that she d be true
573,i had no idea what a woman in love would do
574,one more night i will wait for the light
575,while the wind blows high above the tree
576,oh i miss my darling so
577,i didn t mean to see her go
578,but tonight no light will shine on me
579,one more night the moon is shinin bright
580,and the wind blows high above the tree
581,oh i miss that woman so
582,i didn t mean to see her go
583,but tonight no light will shine on me
584,hot chilli peppers in the blistering sun
585,dust on my face and my cape
586,me and magdalena on the run
587,i think this time we shall escape
588,sold my guitar to the baker s son
589,for a few crumbs and a place to hide
590,but i can get another one
591,and i ll play for magdalena as we ride
592,no llores mi querida
593,dios nos vigila
594,soon the horse will take us to durango
595,agarrame mi vida
596,soon the desert will be gone
597,soon you will be dancing the fandango
598,past the aztec ruins and the ghosts of our people
599,hoofbeats like castanets on stone
600,at night i dream of bells in the village steeple
601,then i see the bloody face of ramona
602,was it me that shot him down in the cantina
603,was it my hand that held the gun
604,come let us fly my magdalena
605,the dogs are barking and what s done is done
606,no llores mi querida
607,dios nos vigila
608,soon the horse will take us to durango
609,agarrame mi vida
610,soon the desert will be gone
611,soon you will be dancing the fandango
612,at the corrida we ll sit in the shade
613,and watch the young torero stand alone
614,we ll drink tequila where our grandfathers stayed
615,when they rode with villa into torre n
616,then the padre will recite the prayers of old
617,in the little church this side of town
618,i will wear new boots and an earring of gold
619,you ll shine with diamonds in your wedding gown
620,the way is long but the end is near
621,already the fiesta has begun
622,the face of god will appear
623,with his serpent eyes of obsidian
624,no llores mi querida
625,dios nos vigila
626,soon the horse will take us to durango
627,agarrame mi vida
628,soon the desert will be gone
629,soon you will be dancing the fandango
630,was that the thunder that i heard
631,my head is vibrating i feel a sharp pain
632,come sit by me don t say a word
633,oh can it be that i am slain
634,quick magdalena take my gun
635,look up in the hills that flash of light
636,aim well my little one
637,we may not make it through the night
638,no llores mi querida
639,dios nos vigila
640,soon the horse will take us to durango
641,agarrame mi vida
642,soon the desert will be gone
643,soon you will be dancing the fandango
644,tomorrow night will you remember what you said to night
645,tomorrow night will all the thrill be gone
646,tomorrow night will it be just another memory
647,or just another song that s in my heart to linger on
648,your lips are so tender your heart is beating fast
649,and you willingly surrender to me my darling will it last
650,tomorrow night will you be with me when the moon is bright
651,tomorrow night will you say those lovely things you said tonight
652,your lips are so tender your heart is beating fast
653,and you willingly surrender to me my darling will it last
654,tomorrow night will you be with me when the moon is bright
655,tomorrow night will you say those lovely things you said tonight
656,ain t it hard to stumble
657,and land in some funny lagoon
658,ain t it hard to stumble
659,and land in some muddy lagoon
660,especially when it s nine below zero
661,and three o clock in the afternoon
662,ain t gonna hang no picture
663,ain t gonna hang no picture frame
664,ain t gonna hang no picture
665,ain t gonna hang no picture frame
666,well i might look like robert ford
667,but i feel just like a jesse james
668,well i wish i was on some
669,australian mountain range
670,oh i wish i was on some
671,australian mountain range
672,i got no reason to be there but i
673,imagine it would be some kind of change
674,i got my dark sunglasses
675,i got for good luck my black tooth
676,i got my dark sunglasses
677,i m carryin for good luck my black tooth
678,don t ask me nothin about nothin
679,i just might tell you the truth
680,i got a woman in jackson
681,oh i ain t gonna say her name
682,i got a woman in jackson
683,i ain t gonna say her name
684,she s a brown skin woman but i
685,love her just the same
686,sign on the window says lonely
687,sign on the door said no company allowed
688,sign on the street says you don t own me
689,sign on a porch says three s a crowd
690,sign on a porch says that three s a crowd
691,her and her boyfriend went to california
692,her and her boyfriend done changed their tune
693,my best friend said now didn t i warn you
694,brightoon girls are like the moon
695,brightoon girls are like the moon
696,looks like a nothing but rain
697,sure gonna be wet tonight on main street
698,hope that it don t sleet
699,built me a cabin in utah
700,marry me a wife catch a rainbow trout
701,have a bunch of kids who call me pa
702,that must be what it s all about
703,that must be what it s all about
704,god don t make promises that he don t keep
705,you got some big dreams baby but in order to dream you gotta still be asleep
706,when you gonna wake up when you gonna wake up
707,when you gonna wake up strengthen the things that remain
708,counterfeited philosophies have polluted all of your thoughts
709,karl marx has got ya by the throat henry kissinger s got you tied up in knots
710,when you gonna wake up when you gonna wake up
711,when you gonna wake up strengthen the things that remain
712,you got innocent men in jail your insane asylums are filled
713,you got unrighteous doctors dealing drugs that ll never cure your ills
714,when you gonna wake up when you gonna wake up
715,when you gonna wake up strengthen the things that remain
716,you got men who can t hold their peace and woman who can t control their tongues
717,the rich seduce the poor and the old are seduced by the young
718,when you gonna wake up when you gonna wake up
719,when you gonna wake up strengthen the things that remain
720,adulterers in churches and pornography in the schools
721,you got gangsters in power and lawbreakers making rules
722,when you gonna wake up when you gonna wake up
723,when you gonna wake up strengthen the things that remain
724,spiritual advisors and gurus to guide your every move
725,instant inner peace and every step you take has got to be approved
726,when you gonna wake up when you gonna wake up
727,when you gonna wake up strengthen the things that remain
728,do you ever wonder just what god requires
729,you think he s just an errand boy to satisfy your wandering desires
730,when you gonna wake up when you gonna wake up
731,when you gonna wake up and strengthen the things that remain
732,you can t take it with you and you know that it s too worthless to be sold
733,they tell you time is money as if your life was worth its weight in gold
734,when you gonna wake up when you gonna wake up
735,when you gonna wake up and strengthen the things that remain
736,there s a man up on a cross and he s been crucified for you
737,believe in his power that s about all you got to do
738,when you gonna wake up when you gonna wake up
739,when you gonna wake up and strengthen the things that remain
740,well early in the morning
741,til late at night
742,i got a poison headache
743,but i feel all right
744,i m pledging my time to you
745,hopin you ll come through too
746,well the hobo got you high
747,he came to me natur ly
748,after he stole my baby
749,then he wanted to steal me
750,but i m pledging my time to you
751,hopin you ll come through too
752,won t you come with me baby
753,i ll take you where you wanna go
754,and if i don t work out
755,you ll be the first to know
756,i m pledging my time to you
757,hopin you ll come through too
758,well the room is so stuffy
759,i can hardly breathe
760,ev rybody s gone but me and you
761,and i can t be the last to leave
762,i m pledging my time to you
763,hopin you ll come through too
764,well they sent for the ambulance
765,and one was sent
766,somebody got lucky
767,but it was an accident
768,now i m pledging my time to you
769,hopin you ll come through too
770,there is a house down in new orleans they call the rising sun
771,and it s been the ruin of many a poor girl and me oh god i m one
772,my mother was a tailor she sewed these new blue jeans
773,my sweetheart was a gambler lord down in new orleans
774,now the only thing a gambler needs is a suitcase and a trunk
775,and the only time when he s satisfied is when he s on a drunk
776,he fills his glasses up to the brim and he ll pass the cards around
777,and the only pleasure he gets out of life is rambling from town to town
778,oh tell my baby sister not to do what i have done
779,but shun that house in new orleans they call the rising sun
780,well with one foot on the platform and the other foot on the train
781,i m going back to new orleans to wear that ball and chain
782,i m going back to new orleans my race is almost run
783,i m going back to end my life down in the rising sun
784,there is a house in new orleans they call the rising sun
785,and it s been the ruin of many a poor girl and me oh god i m one
786,you walk into the room
787,with your pencil in your hand
788,you see somebody naked
789,and you you say who is that man
790,you try so hard
791,but you don t understand
792,just what you will say
793,when you get home
794,because something is happening here
795,but you don t know what it is
796,do you mister jones
797,you raise up your head
798,and you ask is this where it is
799,and somebody points to you and says
800,it s his
801,and you say what s mine
802,and somebody else says well what is
803,and you say oh my god
804,am i here all alone
805,but something is happening
806,and you don t know what it is
807,do you mister jones
808,you hand in your ticket
809,and you go watch the geek
810,who immediately walks up to you
811,when he hears you speak
812,and says how does it feel
813,to be such a freak
814,and you say impossible
815,as he hands you a bone
816,and something is happening here
817,but you don t know what it is
818,do you mister jones
819,you have many contacts
820,among the lumberjacks
821,to get you facts
822,when someone attacks your imagination
823,but nobody has any respect
824,anyway they already expect you
825,to all give a check
826,to tax deductible charity organizations
827,you ve been with the professors
828,and they ve all liked your looks
829,with great lawyers you have
830,discussed lepers and crooks
831,you ve been through all of
832,f scott fitzgerald s books
833,you re very well read
834,it s well known
835,but something is happening here
836,and you don t know what it is
837,do you mister jones
838,well the sword swallower he comes up to you
839,and then he kneels
840,he crosses himself
841,and then he clicks his high heels
842,and without further notice
843,he asks you how it feels
844,and he says here is your throat back
845,thanks for the loan
846,and you know something is happening
847,but you don t know what it is
848,do you mister jones
849,now you see this one eyed midget
850,shouting the word now
851,and you say for what reason
852,and he says how
853,and you say what does this mean
854,and he screams back you re a cow
855,give me some milk
856,or else go home
857,and you know something s happening
858,but you don t know what it is
859,do you mister jones
860,well you walk into the room
861,like a camel and then you frown
862,you put your eyes in your pocket
863,and your nose on the ground
864,there ought to be a law
865,against you comin around
866,you should be made
867,to wear earphones
868,cause something is happening
869,and you don t know what it is
870,do you mister jones
871,i ve got my back to the sun cause the light is too intense
872,i can see what everybody in the world is up against
873,can t turn back you can t come back sometimes we push too far
874,one day you ll open your eyes and you ll see where we are
875,sugar baby get on down the road you ain t got no brains nohow
876,you went years without me might as well keep goin now
877,some of these bootleggers they make pretty good stuff
878,plenty of places to hide things here if you want to hide them bad enough
879,i m staying with aunt sally but you know she not really my aunt
880,some of these memories you can learn to live with and some of em you can t
881,sugar baby get on down the line you ain t got no brains nohow
882,you went years without me might as well keep goin now
883,the ladies down in darktown they re doin the darktown strut
884,y always got to be prepared but you never know for what
885,there ain t no limit to the amount of trouble women bring
886,love is pleasing love is teasing love not an evil thing
887,sugar baby get on down the road you ain t got no brains nohow
888,you went years without me might as well keep goin now
889,every moment of existence seems like some dirty trick
890,happiness can come suddenly and leave just as quick
891,any minute of the day the bubble can burst
892,try to make things better for someone sometimes you just end up makin it thousand times worse
893,sugar baby get on down the road you ain t got no brains nohow
894,you went years without me might as well keep goin now
895,your charms have broken many a heart and mine is surely one
896,you got a way of tearin the world apart love see what you ve done
897,just as sure as we re livin just as sure as you re born
898,look up look up seek your maker for gabriel blows his horn
899,sugar baby get on down the line you ain t got no sense nohow
900,you went years without me might as well keep goin now
901,ring them bells ye heathen from the city that dreams
902,ring them bells from the sanctuaries cross the valleys and streams
903,for they re deep and they re wide
904,and the world on its side
905,and time is running backwards
906,and so is the bride
907,ring them bells saint peter where the four winds blow
908,ring them bells with an ironhand
909,so the people will know
910,oh it s rush hour now
911,on the wheel and the plow
912,and the sun is going down upon the sacred cow
913,ring them bells sweet martha for the poor man s son
914,ring them bells so the world will know that god is one
915,oh the shepherd is asleep
916,where the willows weep
917,and the mountains are filled with lost sheep
918,ring them bells for the blind and the deaf
919,ring them bells for all of us who are left
920,ring them bells for the chosen few
921,who will judge the many when the game is through
922,ring them bells for the time that flies
923,for the child that cries
924,when innocence dies
925,ring them bells saint catherine from the top of the room
926,ring them from the fortress for the lilies that bloom
927,oh the lines are long and the fighting is strong
928,and they re breaking down the distance between right and wrong
929,well you can tell everybody
930,down in ol frisco
931,tell em
932,tiny montgomery says hello
933,now every boy and girl s
934,gonna get their bang
935,cause tiny montgomery s
936,gonna shake that thing
937,tell everybody
938,down in ol frisco
939,that tiny montgomery s comin
940,down to say hello
941,skinny moo and halftrack frank
942,they re gonna both be gettin
943,outta the tank
944,one bird book
945,and a buzzard and a crow
946,tell em all
947,that tiny s gonna say hello
948,scratch your dad
949,do that bird
950,suck that pig
951,and bring it on home
952,pick that drip
953,and nose that dope
954,tell em all
955,that tiny says hello
956,now he s king of the drunks
957,an he squeezes too
958,watch out lester
959,take it lou
960,join the monks
