,title,text
10,Winterlude,"

Winterlude, Winterlude, oh darling
Winterlude by the road tonight
Tonight there will be no quarreling
Everything is gonna be all right
Oh I see by the angel beside me 
That love has a reason to shine
You're the one I adore come over here and give me more
Winterlude, this dude thinks you're fine.

Winterlude, Winterlude, my little apple
Winterlude by the corn in the field
Winterlude, let's go down to the chapel
Then come back and cook up a meal
Well, come out when the skating rink glistens
By the sun near the old crossroad sign
The snow is so cold but our love can be bold
Winterlude, don't be rude please be mine.

Winterlude, Winterlude, my little daisy
Winterlude by the telephone wire
Winterlude, it's making me lazy
Come one, sit by the logs in the fire
The moonlight reflects from the window
Where the snowflakes they cover the sand
Come out tonight everything will be tight
Winterlude, this dude thinks you're grand.
"
11,All Along The Watchtower,"

""There must be some way out of here,"" said the joker to the thief,
""There's too much confusion, I can't get no relief
Businessmen, they drink my wine, plowmen dig my earth
None of them along the line know what any of it is worth.""

""No reason to get excited"", the thief, he kindly spoke,
""There are many here among us who feel that life is but a joke
But you and I, we've been through that, and this is not our fate
So let us not talk falsely now, the hour is getting late"".

All along the watchtower, princes kept the view
While all the women came and went, barefoot servants, too.

Outside in the distance a wildcat did growl
Two riders were approaching, the wind began to howl.
"
12,Talkin' World War lll Blues,"

Some time ago a crazy dream came to me
I dreamt I was walkin' into World War Three
I went to the doctor the very next day
To see what kinda words he could say
He said it was a bad dream
I wouldn't worry 'bout it none, though
They were my own dreams and they're only in my head

I said, ""Hold it, Doc, a World War passed through my brain""
He said, ""Nurse, get your pad, this boy's insane""
He grabbed my arm, I said, ""Ouch!""
As I landed on the psychiatric couch
He said, ""Tell me about it""

Well, the whole thing started at 3 o'clock fast
It was all over by quarter past
I was down in the sewer with some little lover
When I peeked out from a manhole cover
Wondering who turned the lights on

Well, I got up and walked around
And up and down the lonesome town
I stood a-wondering which way to go
I lit a cigarette on a parking meter and walked on down the road
It was a normal day

Well, I rung the fallout shelter bell
And I leaned my head and I gave a yell
""Give me a string bean, I'm a hungry man""
A shotgun fired and away I ran
I don't blame them too much though
They didn't know me

Down at the corner by a hot-dog stand
I seen a man
I said, ""Howdy friend, I guess there's just us two""
He screamed a bit and away he flew
Thought I was a Communist

Well, I spied me a girl and before she could leave
""Let's go and play Adam and Eve""
I took her by the hand and my heart it was thumpin'
When she said, ""Hey man, you crazy or sumpin'
You see what happened last time they started""

Well, I seen a Cadillac window uptown
And there was nobody aroun'
I got into the driver's seat
And I drove down to 42nd Street
In my Cadillac. Good car to drive after a war

Well, I remember seein' some ad
So I turned on my Conelrad
But I didn't pay my Con Ed bill
So the radio didn't work so well
Turned on my record playerâ
It was Rock-a-day Johnny singin', ""Tell Your Ma, Tell Your Pa
Our Love's A-gonna Grow Ooh-wah, Ooh-wah""

I was feelin' kinda lonesome and blue
I needed somebody to talk to
So I called up the operator of time
Just to hear a voice of some kind
""When you hear the beep it will be three o'clock""
She said that for over an hour
And I hung up

Well, the doctor interrupted me just about then
Sayin', ""Hey I've been havin' the same old dreams
But mine was a little different you see
I dreamt that the only person left after the war was me
I didn't see you around""

Well, now time passed and now it seems
Everybody's having them dreams
Everybody sees themselves
Walkin' around with no one else
Half of the people can be part right all of the time
Some of the people can be all right part of the time
But all of the people can't be all right all of the time
I think Abraham Lincoln said that
""I'll let you be in my dreams if I can be in yours""
I said that
"
13,From A Buick 6,"

I got this graveyard woman, you know she keeps my kids
But my soulful mama, you know she keeps me hid
She's a junkyard angel and she always gives me bread
Well, if I go down dyin' you know she bound to put a blanket on my bed

Well, when the pipeline gets broken and I'm lost on the river bridge
I'm all cracked up on the highway and on the water's edge
She comes down the thruway ready to sew me up with the thread
Well, if I go down dyin' you know she bound to put a blanket on my bed

Well, she don't make me nervous, she don't talk too much
She walks like Bo Diddley and she don't need no crutch
She keeps this four-ten all loaded with lead
Well, if I go down dyin' you know she bound to put a blanket on my bed

Well, you know I need a steam shovel mama to keep away the dead
I need a dump truck baby to unload my head
She brings me everything and more, and just like I said
Well, if I go down dyin' you know she bound to put a blanket on my bed
"
14,Shenandoah,"

Oh, Shenandoah, I long to hear you
Look away, you rollin' river
Oh, Shenandoah, I long to hear 
Look away, we're bound away
Across the wide Missouri.

Now the Missouri is a mighty river
Look away, you rollin' river
Indians camp a long her border
Look away, we're bound away
Across the wide Missouri.

Well, a white man loved an Indian maiden
Look away, you rollin' river
With notions his canoe was laden
Look away, we're bound away
Across the wide Missouri.

Shenandoah, I love your daughter
Look away, you rollin' river
It was for her I'd cross the water
Look away, we're bound away
Across the wide Missouri.

For seven long years I courted Sally
Look away, you rollin' river
Seven more years I longed to have her
Look away, we're bound away
Across the wide Missouri.

Well, it's fare-thee-well, my dear, I'm bound to leave you
Look away, you rollin' river
Shenandoah, I will not deceive you
Look away, we're bound away
Across the wide Missouri.
"
15,A Hard Rain's A-Gonna Fall,"

Oh, where have you been, my blue-eyed son?
And where have you been, my darling young one?
I've stumbled on the side of twelve misty mountains
I've walked and I've crawled on six crooked highways
I've stepped in the middle of seven sad forests
I've been out in front of a dozen dead oceans
I've been ten thousand miles in the mouth of a graveyard
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall

Oh, what did you see, my blue-eyed son?
And what did you see, my darling young one?
I saw a newborn baby with wild wolves all around it
I saw a highway of diamonds with nobody on it
I saw a black branch with blood that kept drippin'
I saw a room full of men with their hammers a-bleedin'
I saw a white ladder all covered with water
I saw ten thousand talkers whose tongues were all broken
I saw guns and sharp swords in the hands of young children
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall

And what did you hear, my blue-eyed son?
And what did you hear, my darling young one?
I heard the sound of a thunder, that roared out a warnin'
I heard the roar of a wave that could drown the whole world
I heard one hundred drummers whose hands were a-blazin'
I heard ten thousand whisperin' and nobody listenin'
I heard one person starve, I heard many people laughin'
Heard the song of a poet who died in the gutter
Heard the sound of a clown who cried in the alley
And it's a hard, it's a hard, it's a hard, it's a hard
It's a hard rain's a-gonna fall

Oh, what did you meet, my blue-eyed son?
Who did you meet, my darling young one?
I met a young child beside a dead pony
I met a white man who walked a black dog
I met a young woman whose body was burning
I met a young girl, she gave me a rainbow
I met one man who was wounded in love
I met another man who was wounded in hatred
And it's a hard, it's a hard, it's a hard, it's a hard
It's a hard rain's a-gonna fall

And what'll you do now, my blue-eyed son?
And what'll you do now, my darling young one?
I'm a-goin' back out 'fore the rain starts a-fallin'
I'll walk to the depths of the deepest dark forest
Where the people are many and their hands are all empty
Where the pellets of poison are flooding their waters
Where the home in the valley meets the damp dirty prison
And the executioner's face is always well hidden
Where hunger is ugly, where souls are forgotten
Where black is the color, where none is the number
And I'll tell and speak it and think it and breathe it
And reflect from the mountain so all souls can see it
And I'll stand on the ocean until I start sinkin'
But I'll know my song well before I start singin'
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall
"
16,One More Night,"

One more night, the stars are in sight
But tonight I'm as lonesome as can be
Oh, the moon is shinin' bright
Lighting ev'rything in sight
But tonight no light will shine on me.

Oh, it's shameful and it's sad
I lost the only pal I had
I just could not be what she wanted me to be
I will turn my head up high
To that dark and rolling sky
For tonight no light will shine on me.

I was so mistaken when I thought that she'd be true
I had no idea what a woman in love would do.

One more night, I will wait for the light
While the wind blows high above the tree
Oh, I miss my darling so
I didn't mean to see her go
But tonight no light will shine on me.

One more night, the moon is shinin' bright
And the wind blows high above the tree
Oh, I miss that woman so
I didn't mean to see her go
But tonight no light will shine on me.
"
17,Romance In Durango,"

Hot chilli peppers in the blistering sun
Dust on my face and my cape
Me and Magdalena on the run
I think this time we shall escape.

Sold my guitar to the baker's son
For a few crumbs and a place to hide
But I can get another one
And I'll play for Magdalena as we ride.

No llores mi querida
Dios nos vigila
Soon the horse will take us to Durango
Agarrame mi vida
Soon the desert will be gone
Soon you will be dancing the fandango.

Past the Aztec ruins and the ghosts of our people
Hoofbeats like castanets on stone
At night I dream of bells in the village steeple
Then I see the bloody face of Ramona.

Was it me that shot him down in the cantina
Was it my hand that held the gun ?
Come let us fly my Magdalena
The dogs are barking and what's done is done.

No llores mi querida
Dios nos vigila
Soon the horse will take us to Durango
Agarrame mi vida
Soon the desert will be gone
Soon you will be dancing the fandango.

At the corrida we'll sit in the shade
And watch the young torero stand alone
We'll drink tequila where our grandfathers stayed
When they rode with Villa into Torre6n.

Then the padre will recite the prayers of old
In the little church this side of town
I will wear new boots and an earring of gold
You'll shine with diamonds in your wedding gown.

The way is long but the end is near
Already the fiesta has begun
The face of God will appear
With His serpent eyes of obsidian.

No llores mi querida
Dios nos vigila
Soon the horse will take us to Durango
Agarrame mi vida
Soon the desert will be gone
Soon you will be dancing the fandango.

Was that the thunder that I heard
My head is vibrating, I feel a sharp pain
Come sit by me don't say a word
Oh can it be that I am slain ?

Quick, Magdalena, take my gun
Look up in the hills that flash of light
Aim well my little one
We may not make it through the night.

No llores mi querida
Dios nos vigila
Soon the horse will take us to Durango
Agarrame mi vida
Soon the desert will be gone
Soon you will be dancing the fandango.
"
18,Tomorrow Night,"

Tomorrow night, will you remember what you said to night ?
Tomorrow night, will all the thrill be gone ?
Tomorrow night, will it be just another memory
Or just another song, that's in my heart to linger on ?

Your lips are so tender, your heart is beating fast
And you willingly surrender to me, my darling will it last ?
Tomorrow night, will you be with me when the moon is bright ?
Tomorrow night, will you say those lovely things you said tonight ?

Your lips are so tender, your heart is beating fast
And you willingly surrender to me, my darling will it last ?
Tomorrow night, will you be with me when the moon is bright ?
Tomorrow night, will you say those lovely things you said tonight ?
"
19,Outlaw Blues,"

Ain't it hard to stumble
And land in some funny lagoon?
Ain't it hard to stumble
And land in some muddy lagoon?
Especially when it's nine below zero
And three o'clock in the afternoon

Ain't gonna hang no picture
Ain't gonna hang no picture frame
Ain't gonna hang no picture
Ain't gonna hang no picture frame
Well, I might look like Robert Ford
But I feel just like a Jesse James

Well, I wish I was on some
Australian mountain range
Oh, I wish I was on some
Australian mountain range
I got no reason to be there, but I
Imagine it would be some kind of change

I got my dark sunglasses
I got for good luck my black tooth
I got my dark sunglasses
I'm carryin' for good luck my black tooth
Don't ask me nothin' about nothin'
I just might tell you the truth

I got a woman in Jackson
Oh, I ain't gonna say her name
I got a woman in Jackson
I ain't gonna say her name
She's a brown-skin woman, but I
Love her just the same
"
20,Sign On The Window,"

Sign on the window says, ""Lonely""
Sign on the door said, ""No company allowed""
Sign on the street says, ""You don't own me""
Sign on a porch says, ""Three's a crowd""
Sign on a porch says that three's a crowd.

Her and her boyfriend went to California
Her and her boyfriend done changed their tune
My best friend said, ""Now didn't I warn you ?
Brightoon girls are like the moon
Brightoon girls are like the moon"".

Looks like a-nothing but rain
Sure gonna be wet tonight on Main Street
Hope that it don't sleet.

Built me a cabin in Utah
Marry me a wife, catch a rainbow trout
Have a bunch of kids who call me pa
That must be what it's all about
That must be what it's all about.
"
21,When You Gonna Wake Up ?,"

God don't make promises that He don't keep
You got some big dreams baby, but in order to dream you gotta still be asleep.

When you gonna wake up, when you gonna wake up 
When you gonna wake up strengthen the things that remain ?

Counterfeited philosophies have polluted all of your thoughts
Karl Marx has got ya by the throat, Henry Kissinger's got you tied up in knots.

When you gonna wake up, when you gonna wake up 
When you gonna wake up strengthen the things that remain ?

You got innocent men in jail, your insane asylums are filled
You got unrighteous doctors dealing drugs that'll never cure your ills.

When you gonna wake up, when you gonna wake up 
When you gonna wake up  strengthen the things that remain ?

You got men who can't hold their peace and woman who can't control their tongues
The rich seduce the poor and the old are seduced by the young.

When you gonna wake up, when you gonna wake up 
When you gonna wake up strengthen the things that remain ?

Adulterers in churches and pornography in the schools
You got gangsters in power and lawbreakers making rules.

When you gonna wake up, when you gonna wake up 
When you gonna wake up strengthen the things that remain ?

Spiritual advisors and gurus to guide your every move
Instant inner peace and every step you take has got to be approved.

When you gonna wake up, when you gonna wake up 
When you gonna wake up strengthen the things that remain ?

Do you ever wonder just what God requires ?
You think He's just an errand boy to satisfy your wandering desires.

When you gonna wake up, when you gonna wake up 
When you gonna wake up and strengthen the things that remain ?

You can't take it with you and you know that it's too worthless to be sold
They tell you, 'Time is money' as if your life was worth its weight in gold.

When you gonna wake up, when you gonna wake up 
When you gonna wake up and strengthen the things that remain ?

There's a man up on a cross and He's been crucified for you
Believe in His power that's about all you got to do.

When you gonna wake up, when you gonna wake up 
When you gonna wake up and strengthen the things that remain ?
"
22,Pledging My Time,"

Well, early in the morning
'Til late at night
I got a poison headache
But I feel all right
I'm pledging my time to you
Hopin' you'll come through too.

Well, the hobo got you high
He came to me natur'ly
After he stole my baby
Then he wanted to steal me
But I'm pledging my time to you
Hopin' you'll come through too.

Won't you come with me baby ?
I'll take you where you wanna go
And if I don't work out
You'll be the first to know
I'm pledging my time to you
Hopin' you'll come through too.

Well, the room is so stuffy
I can hardly breathe
Ev'rybody's gone but me and you
And I can't be the last to leave
I'm pledging my time to you
Hopin' you'll come through too.

Well, they sent for the ambulance
And one was sent
Somebody got lucky
But it was an accident
Now, I'm pledging my time to you
Hopin' you'll come through too.
"
23,House Of The Risin' Sun,"

There is a house down in New Orleans they call the rising sun
And it's been the ruin of many a poor girl and me, oh God, I'm one

My mother was a tailor, she sewed these new blue jeans
My sweetheart was a gambler, Lord, down in New Orleans

Now the only thing a gambler needs is a suitcase and a trunk
And the only time when he's satisfied is when he's on a drunk

He fills his glasses up to the brim and he'll pass the cards around
And the only pleasure he gets out of life is rambling from town to town

Oh tell my baby sister not to do what I have done
But shun that house in New Orleans they call the rising sun

Well with one foot on the platform and the other foot on the train
I'm going back to New Orleans to wear that ball and chain

I'm going back to New Orleans, my race is almost run
I'm going back to end my life down in the rising sun

There is a house in New Orleans they call the rising sun
And it's been the ruin of many a poor girl and me, oh God, I'm one
"
24,Ballad Of A Thin Man,"

You walk into the room
With your pencil in your hand
You see somebody naked
And you, you say, ""Who is that man?""
You try so hard
But you don't understand
Just what you will say
When you get home

Because something is happening here
But you don't know what it is
Do you, Mister Jones?

You raise up your head
And you ask, ""Is this where it is?""
And somebody points to you and says
""It's his""
And you say, ""What's mine?""
And somebody else says, ""Well what is?""
And you say, ""Oh my God
Am I here all alone?""

But something is happening
And you don't know what it is
Do you, Mister Jones?

You hand in your ticket
And you go watch the geek
Who immediately walks up to you
When he hears you speak
And says, ""How does it feel
To be such a freak?""
And you say, ""Impossible""
As he hands you a bone

And something is happening here
But you don't know what it is
Do you, Mister Jones?

You have many contacts
Among the lumberjacks
To get you facts
When someone attacks your imagination
But nobody has any respect
Anyway they already expect you
To all give a check
To tax-deductible charity organizations
You've been with the professors
And they've all liked your looks
With great lawyers you have
Discussed lepers and crooks
You've been through all of
F. Scott Fitzgerald's books
You're very well read
It's well known

But something is happening here
And you don't know what it is
Do you, Mister Jones?

Well, the sword swallower, he comes up to you
And then he kneels
He crosses himself
And then he clicks his high heels
And without further notice
He asks you how it feels
And he says, ""Here is your throat back
Thanks for the loan""

And you know something is happening
But you don't know what it is
Do you, Mister Jones?

Now you see this one-eyed midget
Shouting the word ""NOW""
And you say, ""For what reason?""
And he says, ""How?""
And you say, ""What does this mean?""
And he screams back, ""You're a cow
Give me some milk
Or else go home""

And you know something's happening
But you don't know what it is
Do you, Mister Jones?

Well, you walk into the room
Like a camel and then you frown
You put your eyes in your pocket
And your nose on the ground
There ought to be a law
Against you comin' around
You should be made
To wear earphones

'Cause something is happening
And you don't know what it is
Do you, Mister Jones?
"
25,Sugar Baby,"

I've got my back to the sun 'cause the light is too intense
I can see what everybody in the world is up against
Can't turn back, you can't come back, sometimes we push too far
One day you'll open your eyes and you'll see where we are

Sugar baby get on down the road, you ain't got no brains nohow
You went years without me, might as well keep goin' now

Some of these bootleggers, they make pretty good stuff.
Plenty of places to hide things here if you want to hide them bad enough.
I'm staying with Aunt Sally, but you know she not really my aunt.
Some of these memories, you can learn to live with and some of'em you can't

Sugar baby get on down the line, you ain't got no brains nohow
You went years without me, might as well keep goin' now

The ladies down in Darktown, they're doin' the Darktown strut
Y'always got to be prepared, but you never know for what
There ain't no limit to the amount of trouble women bring
Love is pleasing, love is teasing, love not an evil thing

Sugar baby get on down the road, you ain't got no brains nohow
You went years without me, might as well keep goin' now

Every moment of existence seems like some dirty trick
Happiness can come suddenly and leave just as quick
Any minute of the day, the bubble can burst
Try to make things better for someone sometimes you just end up makin' it thousand times worse

Sugar baby get on down the road, you ain't got no brains nohow
You went years without me, might as well keep goin' now

Your charms have broken many a heart and mine is surely one
You got a way of tearin' the world apart, love, see what you've done
Just as sure as we're livin', just as sure as you're born
Look up, look up, seek your maker, for Gabriel blows his horn

Sugar baby, get on down the line, you ain't got no sense nohow
You went years without me, might as well keep goin' now
"
26,Ring Them Bells,"

Ring them bells ye heathen from the city that dreams
Ring them bells from the sanctuaries cross the valleys and streams
For they're deep and they're wide
And the world on its side
And time is running backwards
And so is the bride.

Ring them bells Saint Peter where the four winds blow
Ring them bells with an ironhand
So the people will know
Oh it's rush hour now
On the wheel and the plow
And the sun is going down upon the sacred cow.

Ring them bells Sweet Martha for the poor man's son
Ring them bells so the world will know that God is one
Oh the shepherd is asleep
Where the willows weep
And the mountains are filled with lost sheep
Ring them bells for the blind and the deaf
Ring them bells for all of us who are left
Ring them bells for the chosen few
Who will judge the many when the game is through
Ring them bells for the time that flies
For the child that cries
When innocence dies.

Ring them bells Saint Catherine from the top of the room
Ring them from the fortress for the lilies that bloom
Oh the lines are long and the fighting is strong
And they're breaking down the distance between right and wrong.
"
